species;pest;hygrophile;thermophile
Acari incertae sedis;potential;;
Aedes taeniorhynchus;probably not;;
Araneae incertae sedis;probably not;;
Aymaria conica;probably not;;
Blapstinus sp.;probably not ;;
Blattidae incertae sedis;potential;yes;
Blattodea incertae sedis;potential;yes;
Calosoma granatense;NA;;
Camponotus conspicuus zonatus;probably not;;
Camponotus sp.;probably not;;
Clogmia sp.;NA;yes;
Collembola incertae sedis;potential;yes;
Cyclophora impudens;potential;;
Cycloptilum erraticum;NA;;
Cycloptilum sp.;NA;;
Diapriidae incertae sedis;NA;;
Dipropus puberulus;NA;;
Dohrniphora cornuta;NA;;
Epipsocus sp;potential;;
Gamasomorpha sp.;NA;;
Gryllus sp.;NA;;
Holocompsa nitidula;potential;yes;
Incertae sedis 2;NA;;
Lachesilla sp.;potential;;
Lasioderma serricorne;potential;yes;
Lepidopsocidae incertae sedis;potential;;
Linyphiidae incertae sedis;NA;;
Liposcelididae incertae sedis;potential;yes;
Liposcelis entomophila;potential;yes;
Megaselia scalaris;potential;;
Megaselia sp.;potential;;
Metoponorthus pruinosus;NA;;
Modisimus sp.;NA;;
Monomorium floricola;potential;;
Neocleobis solitarius;NA;;
Odontomachus bauriÂ ;look into;;
Oecobius concinnus;NA;;
Periplaneta americana;potential;;
Periplaneta australiasea;potential;;
Periplaneta sp.;potential;;
Phalacrus darwini;potential;;
Physocyclus globosus;NA;;
Porcellio laevis;potential;yes;
Porcellionides pruinosus;potential;;
Psocoptera incertae sedis;potential;;
Psychodinae incertae sedis;NA;;
Psycnoscelus surinamensis;potential;yes;
Sarcophagidae incertae sedis;NA;;
Sciara sp.;potential;;
Scolopendra galapagoensis;NA;;
Selenops galapagoensis;NA;;
Symploce pallens;potential;yes;
Tapinoma melanocephalum;potential;;
Tetramorium bicarinatum;NA;;
Xyleborus spinulosus;NA;;